(^|\s|\()alpaca($|\s|\)|;),alpaca
(^|\s|\()Anas gracilis($|\s|\)|;),duck
(^|\s|\()antelope($|\s|\)|;),antelope
(^|\s|\()Apodemus agrarius($|\s|\)|;),mouse
(^|\s|\()Apodemus chevrieri($|\s|\)|;),mouse
(^|\s|\()Aselliscus stoliczkanus($|\s|\)|;),bat
(^|\s|\()bat($|\s|\)|;),bat
(^|\s|\()Bos taurus($|\s|\)|;),cow
(^|\s|\()bovine($|\s|\)|;),cow
(^|\s|\()Branta canadensis($|\s|\)|;),goose
(^|\s|\()broiler($|\s|\)|;),chicken
(^|\s|\()Bubalus bubalis($|\s|\)|;),buffalo
(^|\s|\()Calidris acuminata($|\s|\)|;),sandpiper
(^|\s|\()[Cc]amel($|\s|\)|;),camel
(^|\s|\()[Cc]amelus dromedarius($|\s|\)|;),camel
(^|\s|\()Canis lupus familiaris($|\s|\)|;),dog
(^|\s|\()cat($|\s|\)|;),cat
(^|\s|\()cattle($|\s|\)|;),cattle
(^|\s|\()Chaerephon plicata($|\s|\)|;),bat
(^|\s|\()chicken($|\s|\)|;),chicken
(^|\s|\()Chlorocebus aethiops($|\s|\)|;),grivet
(^|\s|\()civet($|\s|\)|;),civet
(^|\s|\()moorhen($|\s|\)|;),moorhen
(^|\s|\()Cynopterus sphinx($|\s|\)|;),bat
(^|\s|\()Delphinapterus leucas \(beluga whale\)($|\s|\)|;),beluga
(^|\s|\()dog($|\s|\)|;),dog
(^|\s|\()dromedary($|\s|\)|;),camel
(^|\s|\()duck($|\s|\)|;),duck
(^|\s|\()Equus caballus adult($|\s|\)|;),horse
(^|\s|\()Erinaceus($|\s|\)|;),hedgehog
(^|\s|\()feline($|\s|\)|;),cat
(^|\s|\()Felis catus($|\s|\)|;),cat
(^|\s|\()ferret($|\s|\)|;),ferret
(^|\s|\()Gallus($|\s|\)|;),chicken
(^|\s|\()giraffe($|\s|\)|;),giraffe
(^|\s|\()Hipposideros($|\s|\)|;),bat
(^|\s|\()Homo sapiens($|\s|\)|;),human
(^|\s|\()Hydropotes inermis \(water deer\)($|\s|\)|;),deer
(^|\s|\()Hypsugo savii($|\s|\)|;),bat
(^|\s|\()Lama glama($|\s|\)|;),lama
(^|\s|\()large pig roundworm($|\s|\)|;),roundworm
(^|\s|\()magpie-robin($|\s|\)|;),magpie-robin
(^|\s|\()microbat($|\s|\)|;),bat
(^|\s|\()Miniopterus($|\s|\)|;),bat
(^|\s|\()mink($|\s|\)|;),mink
(^|\s|\()mouse($|\s|\)|;),mouse
(^|\s|\()Mus musculus($|\s|\)|;),mouse
(^|\s|\()Mustela($|\s|\)|;),ferret
(^|\s|\()Myotis($|\s|\)|;),bat
(^|\s|\()Neoromicia capensis($|\s|\)|;),bat
(^|\s|\()night-heron($|\s|\)|;),night-heron
(^|\s|\()Niviventer confucianus($|\s|\)|;),rat
(^|\s|\()Nyctalus velutinus($|\s|\)|;),bat
(^|\s|\()Oryctolagus cuniculus($|\s|\)|;),rabbit
(^|\s|\()Paguma larvata($|\s|\)|;),civet
(^|\s|\()palm civet($|\s|\)|;),civet
(^|\s|\()Pan troglodytes verus($|\s|\)|;),chimpanzee
(^|\s|\()Pheasant($|\s|\)|;),pheasant
(^|\s|\()pig(let)*($|\s|\)|;),pig
(^|\s|\()Pipistrellus($|\s|\)|;),bat
(^|\s|\()[Pp]orcine($|\s|\)|;),pig
(^|\s|\()porcine($|\s|\)|;),pig
(^|\s|\()rat($|\s|\)|;),rat
(^|\s|\()[Rr]attus($|\s|\)|;),rat
(^|\s|\()Rhin[io]lophus($|\s|\)|;),bat
(^|\s|\()Rousettus($|\s|\)|;),bat
(^|\s|\()sambar deer($|\s|\)|;),deer
(^|\s|\()Scotophilus kuhlii($|\s|\)|;),bat
(^|\s|\()sparrow($|\s|\)|;),sparrow
(^|\s|\()Suncus murinus($|\s|\)|;),shrew
(^|\s|\()Sus[ _]scrofa($|\s|\)|;),pig
(^|\s|\()swine($|\s|\)|;),pig
(^|\s|\()Tadorna tadornoides($|\s|\)|;),shelduck
(^|\s|\()Triaenops afer($|\s|\)|;),bat
(^|\s|\()turkey($|\s|\)|;),turkey
(^|\s|\()Tylonycteris($|\s|\)|;),bat
(^|\s|\()Vespertilio superans($|\s|\)|;),bat
(^|\s|\()Vicugna pacos($|\s|\)|;),alpaca
(^|\s|\()waterbuck($|\s|\)|;),waterbuck
(^|\s|\()white-eye($|\s|\)|;),white-eye
(^|\s|\()white-tailed deer($|\s|\)|;),deer
(^|\s|\()wigeon($|\s|\)|;),wigeon
(^|\s|\()yak($|\s|\)|;),yak
Amur tiger,tiger
Marmota himalayana,marmot
Canine lupus familaris,dog
Cerdocyon thous,crab-eating-fox
Ovibos moschatus,ovibos
Canis lupus familaris,dog
Canine,dog
ovine,sheep
sheep,sheep
Steer,bull
roe deer,deer
Coracias garrulus (European roller),roller
Zalophus californianus (California sea lion),sea-lion
Passeriformes,exclude
Sarcophilus harrisii,tasmanian-devil
Eidolon helvum,bat
grey squirrel,squirrel
Vulpes vulpes,fox
Ovis aries,sheep
Capra hircus,goat
Budorcas taxicolor tibetana,takin
Homo sapiens, 24 months old femail,human
Hystrix brachyurus,porcupine
Bat,bat
Culex sp. (mosquito),exclude
[Rr]abbit,rabbit
domestic rabbit[s]*,domestic-rabbit
wild rabbit,wild-rabbit
dead unvaccinated rabbit,rabbit
Lepus europaeus,european-hare
Lepus granatensis,iberian-hare
Lepus timidus,mountain-hare
Alpine Musk Deer,musk-deer
checkered giant rabbit,giant-rabbit
cottontail rabbit,cottontail-rabbit
Felis domesticus,cat
Crotalus lepidus \(Rock rattlesnake\),rattlesnake
Callorhinus ursinus \(northern fur seal\),seal
Zalophus californianus,sealion