[Hh]omo sapiens[,;]*	human
Sus scrofa \(wild boar\)	wild boar
Sus scrofa domesticus	swine
[.]*pig[.]*	swine
swine	swine
[.]*bat[.]*|Eidolon helvum	bat
Pan troglodytes troglodytes	chimpanzee
Zalophus californianus \(California sea lion\)	sea-lion
Cani(ne|s) lupus familaris|dog	dog
Mus musculus[.]*	mice
Sus scrofa	wild boar
Amur tiger	tiger
Arenaria interpres	turnstone
Arnoglossus sp.	Arnoglossus
Banjos banjos	banjofish
[.]*duck[.]*	duck
Bos taurus	bull
Budorcas taxicolor tibetana	takin
Bufo gargarizans|Leptobrachium hainanense|Duttaphrynus melanostictus	toad
Calidris ruficollis	stint
Calotes versicolor|Tropidophorus sinicus	lizard
Camelus dromedarius	camel
Capra hircus	goat
Cephalopholis spiloparaea	grouper
Cerdocyon thous	fox
Coelorinchus multispinulosus	rattail
Coracias garrulus \(European roller\)	roller
Crossorhombus sp\.|Cynoglossus sp\.	flounder
Cynops orientalis	newt
Dasyatis akajei	stingray
Echelus uropterus	eel
Felis catus|[.]*	cat
Gallus gallus[.]*	chiken
Gekko similignum	geńko
Gonorynchus abbreviatus	ray-finned fish
Hemidactylus bowringii|Teratoscincus roborowskii	gecko
Hemitriakis japanica|Scoliodon macrorhynchos	shark
[.]*[Gg](oo|ee)se	goose
Hyla simplex|Microhyla pulchra|Polypedates megacephalus|Sylvirana guentheri	frog
Hystrix brachyurus	 porcupine
Lepidotrigla sp.	searobin
Leptobrachium hainanense	toad
Lethenteron camtschaticum	lamprey
Lingxian White Goose	goose
Macroramphosus scolopax	snipefish
Marmota himalayana	marmot
Minous monodactylus	stingfish
Myrrophis chinensis	snake
Oryctolagus cuniculus	rabbit
Ovibos moschatus	muskox
Ovis aries|sheep	sheep
Parapercis lutevittata	sandperch
Passeriformes	sparrow
Pekin duck	duck
Plagiopsetta sp.	flounder
Pleuronichthys japonicus	Pleuronichthys
Pterygotrigla hemisticta	searobin
Rattus andamanensis	rat
Rattus norvegicus	rat
Red-necked Avocet	cobbler
Sarcophilus harrisii	tasmanian devil
Steer	Steer
Vulpes vulpes	wolf
cattle	cattle
gosling	gosling
mink	mink
ovine	ovine
pigeon	pigeon
porcine	porcine
turkey	turkey
yak	yak